2026-07-31 15:19:45,798 REQ-10D0CB | /accounts/login/ | MW_MODULE_ACCESS | 1038ms | 0 | SLOW
2026-07-31 15:19:45,798 REQ-10D0CB | /accounts/login/ | TEMPLATE | 1037ms | 0 | SLOW
2026-07-31 15:19:45,798 REQ-10D0CB | /accounts/login/ | TOTAL | 1046ms | 0 | SLOW
2026-07-31 15:49:24,098 REQ-8BB4AF | /accounts/login/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-07-31 15:49:24,098 REQ-8BB4AF | /accounts/login/ | DB | 1117ms | 16 | SLOW
2026-07-31 15:49:24,098 REQ-8BB4AF | /accounts/login/ | VIEW | 1406ms | 16 | SLOW
2026-07-31 15:49:24,098 REQ-8BB4AF | /accounts/login/ | MW_MODULE_ACCESS | 2521ms | 0 | SLOW
2026-07-31 15:49:24,098 REQ-8BB4AF | /accounts/login/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 15:49:24,098 REQ-8BB4AF | /accounts/login/ | TOTAL | 2524ms | 16 | SLOW
2026-07-31 16:10:31,899 REQ-F30AD4 | /adminportal/api/shortcuts/ | MIDDLEWARE_AUTH | 2ms | 0 | OK
2026-07-31 16:10:31,899 REQ-F30AD4 | /adminportal/api/shortcuts/ | DB | 9ms | 2 | OK
2026-07-31 16:10:31,899 REQ-F30AD4 | /adminportal/api/shortcuts/ | VIEW | 2103ms | 2 | SLOW
2026-07-31 16:10:31,899 REQ-F30AD4 | /adminportal/api/shortcuts/ | MW_MODULE_ACCESS | 1984ms | 0 | SLOW
2026-07-31 16:10:31,899 REQ-F30AD4 | /adminportal/api/shortcuts/ | TEMPLATE | 0ms | 0 | OK
2026-07-31 16:10:31,899 REQ-F30AD4 | /adminportal/api/shortcuts/ | TOTAL | 2113ms | 2 | SLOW
2026-07-31 16:38:03,919 REQ-D3CADF | /adminportal/api/user-allowed-modules/ | MIDDLEWARE_AUTH | 1ms | 0 | OK
2026-07-31 16:38:03,934 REQ-D3CADF | /adminportal/api/user-allowed-modules/ | DB | 13ms | 6 | OK
2026-07-31 16:38:03,934 REQ-D3CADF | /adminportal/api/user-allowed-modules/ | VIEW | 1556ms | 6 | SLOW
2026-07-31 16:38:03,934 REQ-D3CADF | /adminportal/api/user-allowed-modules/ | MW_MODULE_ACCESS | 1550ms | 0 | SLOW
2026-07-31 16:38:03,934 REQ-D3CADF | /adminportal/api/user-allowed-modules/ | TEMPLATE | 1ms | 0 | OK
2026-07-31 16:38:03,934 REQ-D3CADF | /adminportal/api/user-allowed-modules/ | TOTAL | 1570ms | 6 | SLOW
